modul,price,score
  15.6  ‌   G8-255-R3 12GB 1HDD 256SSD Radeon -  ,18990000,
  15.6  ‌  255-G8 - R3 12GB 512SSD RADEON -  ,18390000,4.5
  15.6  ‌  15s-eq1015ne-R3 16GB 1SSD Radeon -  ,18100000,
  15.6  ‌  G8-255-R5 8GB 256GB VEGA7,17999000,
  15.6  ‌  255 G8,17662600,5
  15.6  ‌  15s-eq1015ne-R3 16GB 512SSD Radeon -  ,16387500,
  15.6  ‌  G8-255-R3 4GB 1SSD Radeon -  ,16200000,
  15.6  ‌  15s-eq1015ne-R3 12GB 512SSD Radeon -  ,16118400,
  15.6  ‌  255-G8,16200000,
  15.6     250 G7 - Celeron 8GB 512HDD -  ,12700000,4
  15.6     250 G7,12129000,3
