modul,price,score
  15.6    ThinkBook 15 G2 ITL-i7 16GB 512GB -  ,37000000,5
  15.6    IdeaPad Gaming 3-15IAH7-i5 16GB 512SSD RTX3050,36750000,3
  15.6    Thinkbook 15 G2 ITL - i7-C -  ,36500000,
  15.6    IdeaPad Gaming 3 15IAH7-i5 16GB 1T 4GB -  ,36590000,
  15.6    IdeaPad Gaming 3 15IHU6-i5 16GB 512SSD RTX3050Ti -  ,36199000,
  15.6    IdeaPad Gaming 3 15IHU6-i5 32GB 1HDD 256SSD GTX1650 -  ,36190000,
  15.6    IdeaPad Gaming 3-15IAH7 -   1,35190000,
  15.6    IdeaPad Gaming 3-15IAH7-i5 16GB 512SSD RTX3050,35550000,4.3
  15.6    ThinkBook 15 G2 ITL-i7 8GB 1HDD MX450,35100000,
  15.6    ThinkBook 15 G2ITL-i7 16GB 1TB 1TB MX450,34999000,2.8
  15.6    IdeaPad gaming 3-15IHU6,34990000,4.2
  15.6    ThinkBook 15 G2 ITL-i7 16GB 256GB -  ,34800000,
  15.6    IdeaPad Gaming 3 15IHU6-i5 16GB 1HDD 256SSD GTX1650 -  ,34790000,
  15.6    IdeaPad 5 15IAL7-i7 16GB 512GB 2GB -  ,34600000,
  15.6    ThinkBook 15 G2 ITL-i7 8GB 512GB -  ,34500000,
  15.6    IdeaPad Gaming 3 15IHU6-i5 8GB 512SSD RTX3050Ti,34399000,
  15.6    ThinkBook 15 G2ITL-i7 8GB 1HDD 1SSD MX450,34290000,
  15.6    Thinkbook 15 G2 ITL - i7-A -  ,34199000,
  15.6    Thinkbook 15 G2 ITL - i7 -  ,34050000,4
  15.6    ThinkBook 15 G2ITL-i7 16GB 1TB 512GB MX450,33999000,4.1
  15.6    ThinkBook 15 G2 ITL-i5 16GB 512SSD MX450 -  ,33800000,
  15.6    IdeaPad Gaming 3 15IHU6-i5 8GB 1HDD 256SSD GTX1650 -  ,33650000,
  15.6    ThinkBook 15 G2ITL-i7 16GB 1TB 256GB MX450,33599000,3.8
  15.6    ThinkBook 15 G2 ITL-i7 16GB 1SSD MX450 -  ,33590000,
  15    IdeaPad 5-A,33399000,4.1
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1SSD MX450 -  ,33200000,
  15.6    ThinkBook 15 G2ITL-i7 16GB 1TB 128GB MX450,33199000,
  15.6    IdeaPad 5-AF-A,33000000,3.3
  15.6    ThinkBook 15 G2ITL-i7 8GB 1TB 512GB MX450,32950000,
  15.6    IdeaPad 5 15IAL7-i7 16GB 512GB 2GB,33790000,4.3
  15.6    ThinkBook 15 G2 ITL-i5 16GB 256SSD MX450 -  ,32900000,
  15.6    ThinkBook 15 G2ITL-i7 8GB 1TB 256GB MX450,32790000,
  15.6    ThinkBook 15 G2ITL-i7 16GB 1TB MX450,32599000,4.1
  15.6    ThinkBook 15 G2ITL-i7 8GB 1TB 128GB MX450,32590000,4.5
  15.6    IdeaPad 3 15ITL6-i7 20GB 1HDD 256SSD MX450 -  ,32480000,
  15.6    ThinkBook 15 G2 ITL-i7 16GB 512SSD MX450 -  ,32290000,
  15.6    IdeaPad 5 15ITL05-i7 8GB 512SSD MX450,32230000,
  15.6    Idea Pad 5 15IAL7-i5 16GB 512GB 2GB -  ,31999000,
  15.6    IdeaPad 5 15ITL05-i7 16GB 1SSD MX450 -  ,31900000,5
  15.6    Idea Pad 5 15IAL7-i5 16GB 1T 2GB,31860000,5
  15.6    ThinkBook 15 G2 ITL-i7 12GB 512SSD MX450 -  ,31850000,
  15.6    ThinkBook 15 G2ITL-i7 16GB 256GB MX450,31790000,
  15.6    ThinkBook 15-H,31650000,2.8
  15.6    IdeaPad 3 15ITL6-i7 20GB 1HDD 512SSD MX450 -  ,31430000,4
  15.6    IdeaPad 3 15ITL6-i7 16GB 1HDD 256SSD MX450 -  ,31080000,
  15.6    IdeaPad 3 15ITL6-i7 24GB 1HDD 512SSD MX450 -  ,30880000,
  15.6    IdeaPad 3 15ITL6-i7 24GB 1HDD 1SSD MX450 -  ,30700000,
  15.6    IdeaPad 3 15ITL6-i7 20GB 1HDD 1SSD MX450 -  ,31800000,2.5
  15.6    IdeaPad 3 15ITL6-i7 24GB 1HDD 128SSD MX450 -  ,30580000,
  15.6    IdeaPad 5 15ITL05-AF,30490000,4
  15.6    IdeaPad 3 15ITL6-i7 24GB 1SSD MX450 -  ,30350000,
  15.6    IdeaPad 5 15ITL05-i7 16GB 512SSD MX450,30450000,4.1
  15.6    IdeaPad 5 15ITL05-i7 16GB 512SSD MX450,30200000,4
  15.6    IdeaPad 3 15ITL6-i7 24GB 1HDD 256SSD MX450 -  ,30030000,
  15.6    Thinkbook 15 G2 ITL-i7 8GB 256SSD MX450,30000000,
  15.6    IdeaPad 3 15ITL6 - 82H800M0AK,29990000,3.9
  15.6    IdeaPad 5 15IAL7-i5 16GB 512SSD MX550,31200000,
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1HDD 512SSD MX450 -  ,29800000,
  15.6    IdeaPad 3 15ITL6-i7 16GB 1HDD MX450 -  ,29680000,
  15.6    IdeaPad 3 15ITL6-i7 24GB 512SSD MX450 -  ,29590000,
  15.6    ThinkBook 15 G2 ITL-i7 8GB 512SSD MX450,29400000,
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1HDD 1SSD MX450 -  ,29400000,2.7
  15.6    IdeaPad 3 15ITL6-i7 24GB 1HDD MX450 -  ,29300000,
  15.6    Ideapad 3 15ITL6 82H800M0AK-i7 12GB 1SSD MX450 -  ,29140000,
  15.6    ThinkBook 15 G2 ITL-i5 12GB 1SSD MX450 -  ,29050000,4.7
  15.6    IdeaPad 3 15ITL6-i5 8GB 1HDD 1SSD MX350 -  ,29000000,
  15.6    IdeaPad 3 15ITL6 - A,28990000,4.1
  15.6    ThinkBook 15 G2 ITL-i5 16GB 1HDD 256SSD MX450 -  ,28700000,
